sentences,tokens,ner_tokens,FUNDAMENTO,DATA,ORGANIZACAO,PESSOA,PRODUTODELEI,LOCAL,EVENTO,lem_sentence,stem_sentence,id
esta lei entra em vigor na data de sua publicação .,"['esta', 'lei', 'entra', 'em', 'vigor', 'na', 'data', 'de', 'sua', 'publicação', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,0,0,0,0,0,lei entrar vigor data publicação,lei entr vig dat public,14
"projeto de lei nº , de 2019 .","['projeto', 'de', 'lei', 'nº', ',', 'de', '2019', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-DATA', 'O']",0,1,0,0,0,0,0,projeto lei nº 2019,projet lei nº 2019,15
"projeto de lei nº , de 2011 ( do sr. marllos sampaio ) torna crime aliciar idoso para contrair empréstimos .","['projeto', 'de', 'lei', 'nº', ',', 'de', '2011', '(', 'do', 'sr.', 'marllos', 'sampaio', ')', 'torna', 'crime', 'aliciar', 'idoso', 'para', 'contrair', 'empréstimos', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-DATA', 'O', 'O', 'O', 'B-PESSOA', 'I-PESSOA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,1,0,1,0,0,0,projeto lei nº 2011 sr. marllos Sampaio tornar crime aliciar idoso contrair empréstimo,projet lei nº 2011 sr. marll sampai torn crim alici idos contra emprést,16
"afigura-se , portanto , desnecessária inscrição em ordem ou conselho para o exercício da profissão de músico . ”","['afigura-se', ',', 'portanto', ',', 'desnecessária', 'inscrição', 'em', 'ordem', 'ou', 'conselho', 'para', 'o', 'exercício', 'da', 'profissão', 'de', 'músico', '.', '”']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PESSOA', 'O', 'O']",0,0,0,1,0,0,0,afigurar se desnecessário inscrição ordem exercício profissão músico,afigura-s desnecessár inscr ord exercíci profiss músic,17
esta resolução entra em vigor na data de sua publicação .,"['esta', 'resolução', 'entra', 'em', 'vigor', 'na', 'data', 'de', 'sua', 'publicação', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,0,0,0,0,0,resolução entrar vigor data publicação,resoluç entr vig dat public,18
"art . 2º revoga-se a lei nº 13.586 , de 28 de dezembro de 2017 .","['art', '.', '2º', 'revoga-se', 'a', 'lei', 'nº', '13.586', ',', 'de', '28', 'de', 'dezembro', 'de', '2017', '.']","['O', 'O', 'O', 'O', 'O', 'B-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'O']",1,0,0,0,0,0,0,art 2º revoga se lei nº 13.586 28 dezembro 2017,art 2º revoga-s lei nº 13.586 28 dezembr 2017,19
"esse é , pois , o objetivo principal desta proposição , que vem juntar-se a outras iniciativas meritórias de nossos pares nesta casa na busca de uma solução para esse grave problema que aflige nossa sociedade .","['esse', 'é', ',', 'pois', ',', 'o', 'objetivo', 'principal', 'desta', 'proposição', ',', 'que', 'vem', 'juntar-se', 'a', 'outras', 'iniciativas', 'meritórias', 'de', 'nossos', 'pares', 'nesta', 'casa', 'na', 'busca', 'de', 'uma', 'solução', 'para', 'esse', 'grave', 'problema', 'que', 'aflige', 'nossa', 'sociedade', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,0,0,0,0,0,objetivo principal proposição juntar se iniciativa meritório par casa busca solução grave problema afligir sociedade,obje princip propos juntar-s inici meritór par cas busc soluç grav problem aflig sociedad,20
"o número de assassinatos tem chegado a 4,8 para cada 100 mil mulheres .","['o', 'número', 'de', 'assassinatos', 'tem', 'chegado', 'a', '4,8', 'para', 'cada', '100', 'mil', 'mulheres', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,0,0,0,0,0,"assassinato chegar 4,8 100 mulher","assassinat cheg 4,8 100 mulh",21
"o estatuto da juventude votado em outubro de 2011 na câmara dos deputados ( pl 4529 / 04 , pendente ainda da aprovação do senado ) , definiu como jovens as pessoas com idade entre quinze e vinte e nove anos , conforme artigo 1º , § 1º e incisos de i a iii .","['o', 'estatuto', 'da', 'juventude', 'votado', 'em', 'outubro', 'de', '2011', 'na', 'câmara', 'dos', 'deputados', '(', 'pl', '4529', '/', '04', ',', 'pendente', 'ainda', 'da', 'aprovação', 'do', 'senado', ')', ',', 'definiu', 'como', 'jovens', 'as', 'pessoas', 'com', 'idade', 'entre', 'quinze', 'e', 'vinte', 'e', 'nove', 'anos', ',', 'conforme', 'artigo', '1º', ',', '§', '1º', 'e', 'incisos', 'de', 'i', 'a', 'iii', '.']","['O', 'B-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'O', 'O', 'B-DATA', 'I-DATA', 'I-DATA', 'O', 'B-ORGANIZACAO', 'I-ORGANIZACAO', 'I-ORGANIZACAO', 'O', 'B-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORGANIZACAO', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",2,1,2,0,0,0,0,estatuto juventude votar outubro 2011 câmara deputado pl 4529 04 pendente aprovação senado definir jovem pessoa idade ano conforme artigo 1º 1º inciso i iii,estatut juventud vot outubr 2011 câm deput pl 4529 04 pend aprov sen defin jov pesso idad ano conform artig 1º 1º incis i iii,22
"§ 2º o número telefônico mencionado no caput deste artigo deverá ser único para todo o país , composto de apenas três dígitos e de acesso gratuito aos usuários","['§', '2º', 'o', 'número', 'telefônico', 'mencionado', 'no', 'caput', 'deste', 'artigo', 'deverá', 'ser', 'único', 'para', 'todo', 'o', 'país', ',', 'composto', 'de', 'apenas', 'três', 'dígitos', 'e', 'de', 'acesso', 'gratuito', 'aos', 'usuários']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,0,0,0,0,0,2º telefônico mencionar caput artigo único país compor dígito acesso gratuito usuário,2º telefôn mencion caput artig únic país compost dígit acess gratuit usu,23
"§ 3º do número de vagas resultantes das regras previstas neste artigo , cada partido ou coligação preencherá o mínimo de 30% ( trinta por cento ) com candidaturas de mulheres e 10% ( dez por cento ) com candidaturas de jovens até 29 anos , considerando-se atendidos os dois requisitos quando coincidirem na mesma pessoa . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .","['§', '3º', 'do', 'número', 'de', 'vagas', 'resultantes', 'das', 'regras', 'previstas', 'neste', 'artigo', ',', 'cada', 'partido', 'ou', 'coligação', 'preencherá', 'o', 'mínimo', 'de', '30%', '(', 'trinta', 'por', 'cento', ')', 'com', 'candidaturas', 'de', 'mulheres', 'e', '10%', '(', 'dez', 'por', 'cento', ')', 'com', 'candidaturas', 'de', 'jovens', 'até', '29', 'anos', ',', 'considerando-se', 'atendidos', 'os', 'dois', 'requisitos', 'quando', 'coincidirem', 'na', 'mesma', 'pessoa', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,0,0,0,0,0,3º vaga resultante regra prever artigo partido coligação preencher mínimo 30 trinta candidatura mulher 10 candidatura jovem 29 ano considerar se atender requisito coincidir mesmo pessoa,3º vag result regr prev artig part colig preench mín 30 trint candidat mulh 10 candidat jov 29 ano considerando-s atend requisit coincid mesm pesso,24
"em diversos casos são os próprios familiares ( 50,3% ) ou parceiros / ex-parceiros ( 33,2% ) que cometem os assassinatos .","['em', 'diversos', 'casos', 'são', 'os', 'próprios', 'familiares', '(', '50,3%', ')', 'ou', 'parceiros', '/', 'ex-parceiros', '(', '33,2%', ')', 'que', 'cometem', 'os', 'assassinatos', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,0,0,0,0,0,"diversos caso próprio familiar 50,3 parceiro ex-parceiro 33,2 cometer assassinato","divers cas própri famili 50,3 parc ex-parc 33,2 comet assassinat",25
§ 2º a escritura e demais atos notariais serão gratuitos aos hipossuficientes econômicos . ”,"['§', '2º', 'a', 'escritura', 'e', 'demais', 'atos', 'notariais', 'serão', 'gratuitos', 'aos', 'hipossuficientes', 'econômicos', '.', '”']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,0,0,0,0,0,2º escritura ato notarial ser gratuito hipossuficiente econômico,2º escrit ato notar ser gratuit hipossufici econôm,26
"i - 6% ( seis por cento ) para a entidade reguladora do setor de mineração ; ii – 1,5% ( um inteiro e cinco décimos por cento ) para o fundo nacional de desenvolvimento científico e tecnológico ( fndct ) , instituído pelo decreto-lei nº 719 , de 31 de julho de 1969 , e restabelecido pela lei nº 8.172 , de 18 de janeiro de 1991 , destinado ao desenvolvimento científico e tecnológico do setor mineral , sendo aplicado , no mínimo , 0,5% ( cinco décimos por cento ) em pesquisas , estudos e projetos para o beneficiamento de rejeitos e estéreis de minerais para uso em outras cadeias produtivas ; . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .","['i', '-', '6%', '(', 'seis', 'por', 'cento', ')', 'para', 'a', 'entidade', 'reguladora', 'do', 'setor', 'de', 'mineração', ';', 'ii', '–', '1,5%', '(', 'um', 'inteiro', 'e', 'cinco', 'décimos', 'por', 'cento', ')', 'para', 'o', 'fundo', 'nacional', 'de', 'desenvolvimento', 'científico', 'e', 'tecnológico', '(', 'fndct', ')', ',', 'instituído', 'pelo', 'decreto-lei', 'nº', '719', ',', 'de', '31', 'de', 'julho', 'de', '1969', ',', 'e', 'restabelecido', 'pela', 'lei', 'nº', '8.172', ',', 'de', '18', 'de', 'janeiro', 'de', '1991', ',', 'destinado', 'ao', 'desenvolvimento', 'científico', 'e', 'tecnológico', 'do', 'setor', 'mineral', ',', 'sendo', 'aplicado', ',', 'no', 'mínimo', ',', '0,5%', '(', 'cinco', 'décimos', 'por', 'cento', ')', 'em', 'pesquisas', ',', 'estudos', 'e', 'projetos', 'para', 'o', 'beneficiamento', 'de', 'rejeitos', 'e', 'estéreis', 'de', 'minerais', 'para', 'uso', 'em', 'outras', 'cadeias', 'produtivas', ';', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PRODUTODELEI', 'I-PRODUTODELEI', 'I-PRODUTODELEI', 'I-PRODUTODELEI', 'I-PRODUTODELEI', 'I-PRODUTODELEI', 'I-PRODUTODELEI', 'I-PRODUTODELEI', 'I-PRODUTODELEI', 'I-PRODUTODELEI', 'O', 'O', 'O', 'B-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'O', 'O', 'O', 'O', 'B-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",2,0,0,0,1,0,0,"i 6 entidade regulador setor mineração ii 1,5 inteiro décimo Fundo nacional desenvolvimento científico tecnológico fndct instituir decreto-lei nº 719 31 julho 1969 restabelecer lei nº 8.172 18 janeiro 1991 destinar desenvolvimento científico tecnológico setor mineral ser aplicar pequeno 0,5 décimo pesquisa estudo projeto beneficiamento rejeito estérel mineral uso cadeia produtivo","i 6 entidad regul set miner ii 1,5 int déc fund nacion desenvolv científ tecnológ fndct institu decreto-l nº 719 31 julh 1969 restabelec lei nº 8.172 18 jan 1991 destin desenvolv científ tecnológ set miner send aplic mín 0,5 déc pesquis estud projet benefic rejeit estérel miner uso cade produ",27
